brand_name,score,area_code
가담,57,3110959
가드니아제빵소,37,3120003
가든쿡,32,3110043
가든포에트,57,3120105
가디록,45,3110962
가또마들렌,42,3120244
가루,51,3110763
가리미김밥,39,3111076
가마구이찌,40,3110892
가마깨비,46,3130069
가마로강정,45,3120225
가마로강정,39,3110786
가마로강정,39,3130218
가마로강정,37,3110613
가마로강정,37,3130324
가마로강정,36,3110216
가마로강정,33,3110899
가마로강정,33,3111027
가마로강정,32,3120085
가마로강정,32,3120240
가마로강정,31,3110354
가마로강정,31,3110763
가마로강정,31,3120153
가마로강정,31,3130219
가마로강정,31,3120248
가마로강정,31,3110929
가마로강정,31,3130168
가마로강정,15,3110296
가마로강정,15,3110060
가마로강정,15,3130186
가마로강정,15,3110835
가마로강정,15,3120079
가마로강정,15,3110112
가마로강정,15,3110265
가마로강정,15,3110809
가마로강정,15,3110410
가마로강정,15,3111073
가마로강정,15,3120211
가마로강정,15,3130054
가마로강정,15,3130326
가마루빚은고등어,50,3120049
가마솥순대국밥,42,3130254
가마솥순대국밥,36,3111068
가마솥순대국밥,34,3130213
가마솥순대국밥,33,3110650
가마솥순대국밥,31,3110269
가마솥순대국밥,31,3120040
가마솥순대국밥,31,3001491
가마솥순대국밥,31,3120249
가마솥순대국밥,15,3111049
가마솥순대국밥,15,3120249
가마솥순대국밥,15,3130032
가마솥순대국밥,15,3110789
가마솥순대국밥,15,3110173
가마솥순대국밥,15,3120178
가마치통닭,34,3130186
가마치통닭,33,3130120
가마치통닭,15,3110529
가마치통닭,15,3110323
가마치통닭,15,3120062
가마치통닭,15,3110720
가마치통닭,15,3110461
가마치통닭,15,3110476
가마치통닭,15,3130168
가마치통닭,15,3110645
가마치통닭,15,3130310
가마치통닭,15,3110997
가마치통닭,15,3110459
가마치통닭,15,3110680
가마치통닭,15,3130123
가마치통닭,15,3110947
가마치통닭,15,3110674
가마치통닭,15,3111018
가마치통닭,15,3110467
가마치통닭,15,3130182
가마치통닭,15,3130172
가메골손만두,80,3130024
가미우동,59,3130191
가배도,56,3120007
가배도,49,3120027
가배도,47,3120187
가배도,45,3120189
가배도,45,3120218
가배도,35,3130024
가배도,15,3120022
가배두림,31,3110550
가산어시장,32,3110723
가산팔복초밥,15,3130206
가스트로통,56,3120002
가온칼국수,31,3120236
가유카페,15,3130181
가인채,34,3120137
가장맛있는족발,43,3120224
가장맛있는족발,42,3120055
가장맛있는족발,41,3120112
가장맛있는족발,41,3120145
가장맛있는족발,40,3120147
가장맛있는족발,40,3110425
가장맛있는족발,39,3120084
가장맛있는족발,38,3120245
가장맛있는족발,37,3130072
가장맛있는족발,37,3110294
가장맛있는족발,37,3110863
가장맛있는족발,36,3110436
가장맛있는족발,36,3110410
가장맛있는족발,35,3120051
가장맛있는족발,35,3110667
가장맛있는족발,35,3120056
가장맛있는족발,35,3130183
가장맛있는족발,35,3120017
가장맛있는족발,34,3120111
가장맛있는족발,34,3130167
가장맛있는족발,34,3120207
가장맛있는족발,34,3130002
가장맛있는족발,34,3130232
가장맛있는족발,33,3120083
가장맛있는족발,33,3110954
가장맛있는족발,33,3110205
가장맛있는족발,32,3110271
가장맛있는족발,32,3110496
가장맛있는족발,32,3120076
가장맛있는족발,31,3120247
가장맛있는족발,31,3110180
가장맛있는족발,31,3110487
가장맛있는족발,31,3110703
가장맛있는족발,31,3120037
가장맛있는족발,31,3130153
가장맛있는족발,31,3110997
가장맛있는족발,31,3110335
가장맛있는족발,31,3130240
가장맛있는족발,31,3120246
가장맛있는족발,31,3130163
가장맛있는족발,15,3110248
가장맛있는족발,15,3120147
가장맛있는족발,15,3120085
가정경양,35,3110760
가제트,15,3111021
가츠가게,44,3110895
가츠라,45,3120089
가츠라,40,3120115
가츠라,34,3110038
가츠라,34,3110265
가츠라,15,3120189
가츠라,15,3110723
가츠몽,40,3120173
가츠몽,39,3110719
가츠몽,37,3110987
가츠몽,36,3120061
가츠몽,35,3130326
가츠몽,35,3120221
가츠몽,35,3120060
가츠몽,34,3120206
가츠몽,33,3120237
가츠몽,31,3130311
가츠몽,31,3120220
가츠몽,31,3110278
가츠몽,31,3130182
가츠몽,15,3120085
가츠몽,15,3110060
가츠신,44,3130188
가타부타,55,3120044
가타부타,36,3120234
가화만사성,40,3120094
간성 동해반점,33,3120136
간식창고,15,3130085
간이역,15,3130113
간코,42,3120101
간코,39,3130248
간코,38,3120233
간코,36,3120227
갈로팡,48,3120007
갈비냉면,33,3110383
갈비다움,47,3110958
갈비배달도시락 스트릿테이블,15,3110466
갈비씨,37,3120041
갈십리,52,3130069
갈현동할머니떡볶이,60,3110467
갈현동할머니떡볶이,33,3130320
감각,49,3120081
감계무량,55,3120143
감나무집기사식당,60,3120104
감동식당,69,3110425
감동칩스,35,3120007
감성채널,45,3120232
감성커피 테라스,34,3111024
감성타코,54,3120003
감자탑,46,3110072
감자탑,45,3120227
감자탑,40,3110248
감자탑,32,3120039
감탄계숯불치킨,48,3120169
감탄계숯불치킨,34,3120235
감탄계숯불치킨,33,3120211
감탄계숯불치킨,33,3110954
감탄계숯불치킨,15,3120152
감탄계숯불치킨,15,3130082
감탄계숯불치킨,15,3120076
감탄떡볶이,38,3110162
감탄떡볶이,37,3110667
감탄떡볶이,34,3130313
감탄떡볶이,34,3111015
감탄떡볶이,34,3120114
감탄떡볶이,31,3120080
감탄떡볶이,31,3120123
감탄떡볶이,31,3110690
감탄떡볶이,31,3110652
감탄떡볶이,31,3110192
감탄떡볶이,31,3110681
감탄떡볶이,31,3111011
감탄떡볶이,31,3110672
감탄떡볶이,31,3110314
감탄떡볶이,31,3110408
감탄떡볶이,31,3110420
감탄떡볶이,31,3110273
감탄떡볶이,31,3110442
감탄떡볶이,31,3111046
감탄떡볶이,15,3110708
감탄떡볶이,15,3120076
감탄떡볶이,15,3130122
감탄떡볶이,15,3120068
감탄떡볶이,15,3110420
감탄떡볶이,15,3120234
감탄떡볶이,15,3130123
감탄떡볶이,15,3110296
감탄떡볶이,15,3111043
감탄떡볶이,15,3110624
감탄떡볶이,15,3120067
감탄떡볶이,15,3120059
감탄떡볶이,15,3130214
감탄떡볶이,15,3120242
감탄떡볶이,15,3110425
감탄떡볶이,15,3130121
갓갈비,31,3130183
갓덴스시,68,3120006
갓덴스시,68,3120189
갓덴스시,57,3120227
갓덴스시,55,3130302
갓덴스시,53,3120167
갓덴스시,43,3120115
갓덴스시,38,3120089
갓잇,70,3111013
갓잇,61,3111062
갓잇,61,3110073
갓잇,55,3110562
갓잇,54,3110962
갓잇,54,3120007
갓잇,51,3110131
갓잇,51,3120187
갓포돈,56,3120197
강가,56,3120030
강가,50,3120023
강가,44,3120145
강가,42,3120197
강가,41,3120227
강가,34,3120149
강강술래,51,3120201
강강술래,50,3110416
강강술래,46,3110880
강강술래,45,3130241
강강술래,45,3120133
강강술래,45,3110987
강강술래,43,3120227
강강술래,35,3130190
강금옥쭈꾸미,40,3110262
강금옥쭈꾸미,32,3120072
강금옥쭈꾸미,15,3130067
강남교자,46,3110954
강남교자,46,3120026
강남교자,40,3120006
강남교자,38,3110837
강남교자,37,3130038
강남교자,32,3120212
강남교자,31,3120051
강남랭겹,34,3120229
강남랭겹,31,3120189
강남어시장,46,3130303
강남어시장,38,3120197
강남쪽갈비,33,3120185
강남쪽갈비,32,3110966
강다짐,37,3120074
강레오의차돌집,15,3110954
강레오의차돌집,15,3110308
강릉스낵,52,3120113
강릉엄지네꼬막집,58,3120056
강릉엄지네꼬막집,49,3120149
강릉엄지네꼬막집,39,3110655
강릉엄지네꼬막집,38,3120113
강릉엄지네꼬막집,36,3110057
강릉엄지네꼬막집,35,3130183
강릉엄지네꼬막집,32,3110367
강릉엄지네꼬막집,31,3120222
강릉엄지네꼬막집,15,3120169
강릉엄지네꼬막집,15,3120130
강릉엄지네꼬막집,15,3110576
강릉엄지네꼬막집,15,3120001
강릉엄지네꼬막집,15,3110889
강릉장칼,41,3130022
강릉장칼,15,3111059
강릉장칼,15,3110946
강릉장칼,15,3110464
강모집,32,3110622
