brand_name,월간 총 검색량,월간 데스크톱 검색량,월간 모바일 검색량,일평균 검색량,블로그최근한달발행량,블로그전체기간발행량,카페최근한달발행량,카페전체기간발행량,VIEW최근한달발행량,VIEW전체기간발행량,어제까지검색량,월말까지검색량,블로그포화지수,카페포화지수,VIEW포화지수,연별 검색량-2016년,연별 검색량-2017년,연별 검색량-2018년,연별 검색량-2019년,연별 검색량-2020년,연별 검색량-2021년,연별 검색량-2022년,월별 검색비율-1월,월별 검색비율-2월,월별 검색비율-3월,월별 검색비율-4월,월별 검색비율-5월,월별 검색비율-6월,월별 검색비율-7월,월별 검색비율-8월,월별 검색비율-9월,월별 검색비율-10월,월별 검색비율-11월,월별 검색비율-12월,요일비율-월,요일비율-화,요일비율-수,요일비율-목,요일비율-금,요일비율-토,요일비율-일,연령별검색비율 - 10대 ,연령별검색비율 - 20대 ,연령별검색비율 - 30대 ,연령별검색비율 - 40대 ,연령별검색비율 - 50대 이상 ,성별검색비율 - 남성,성별검색비율 - 여성,이슈성,정보성,상업성
소문,8680,1750,6930,289.3333333333333,192138,9229465,94357,4212019,287927,13508691,1100,12300.0,2213.5714285714284,1087.0622119815669,3317.131336,69500,58500,62300,62400,97600,170500,101400,13.050342982336014,7.860147951377479,6.702291415709754,6.412438151875369,6.505205831821368,6.622511023192875,7.573649655402232,10.931579864172845,7.825057060152194,7.444878727566341,7.402423791442391,11.669473544951147,14.903142800304112,14.141519993324623,13.722540756779678,13.496323403352264,13.436345500456069,14.822312333920872,15.477815211862374,11.85,27.26,22.69,24.0,14.2,39.28,60.72,7.702936097,42.880131496,57.119868504
비밀,67460,8360,59100,2248.6666666666665,188924,12692830,174815,6274606,365558,19062273,11730,94330.0,280.0533649570116,259.13874888823005,541.8885265342425,986800,678400,592100,571500,637900,695000,350200,8.499111812637256,8.133726480354527,7.127700847083304,7.114564494512096,9.484525285512738,7.642362592342075,7.824893503670053,8.959208495854329,9.112617166381163,11.457098347111002,7.549212279985343,7.094978694556117,14.510044892378126,12.440528782962891,13.180379008284527,15.764289166735082,15.99320969843989,13.83849021640891,14.27305823479057,11.9,24.74,22.26,23.78,17.32,29.77,70.23,8.048359240069084,79.84415659999999,20.1558434
하우스,11140,2020,9120,371.3333333333333,183796,12988005,177160,7511201,362761,20601702,1510,11610.0,1649.8743267504487,1590.3052064631956,3256.382405745063,222300,251600,259500,240100,276600,198100,164200,8.407839366186963,8.441172551517605,9.048298704569875,8.548053662125554,8.130805433789158,8.107401444397741,8.712429067019368,9.373953801895842,7.623077011285491,7.399459815595392,8.015475701863712,8.192033439753299,13.468073671454237,13.271626590364088,13.222923224154092,20.9011983969278,13.261654134869364,13.276754407788651,12.597769574441784,6.25,20.6,27.07,24.84,21.23,41.29,58.71,3.7651122625215887,32.28795484400001,67.71204515599999
기대만족,19780,2480,17300,659.3333333333334,165584,6723810,31973,1811262,198545,8577747,1750,17550.0,837.1284125379171,161.64307381193123,1003.7664307381194,30,1830,6750,2450,12300,12400,60000,6.277055541058823,6.552394697773933,6.608545867078072,6.497040910170194,7.600069646910206,6.611209447287735,7.319306386265133,12.925244378538665,6.807419378411153,6.895325747820944,18.68740993713331,7.218978061551834,12.34537073345914,12.242595620852653,16.56376898576348,15.933244784556107,15.416039928144944,14.034889805983214,13.464090141240453,4.47,24.68,31.64,28.93,10.28,57.2,42.8,2.9213483146067416,81.02266842,18.977331578000005
가루,3110,770,2340,103.66666666666669,160148,11358591,39735,3959942,200882,15395126,400,3050.0,5149.453376205788,1277.652733118971,6459.228295819937,57500,49600,56500,49500,49400,48700,50100,8.225984879655037,8.206602458563179,8.549098923101434,9.461258026703346,9.077017527536126,8.200715687554275,7.878264556282106,8.063682189543457,8.34069034,8.232944264,7.967510287365961,7.796230859924283,15.119213252883103,15.174744232396591,15.09828623309238,15.048166518843663,14.31311365228774,12.45729889547096,12.789177215025576,9.94,24.63,25.51,26.39,13.54,34.21,65.79,2.452504317789292,40.213718992,59.786281008
법원,70300,32000,38300,2343.333333333333,159476,7524843,48031,2024820,208545,9597411,7270,56170.0,226.850640113798,68.32290184921764,296.6500711237553,642100,613500,680900,685900,836900,830900,760400,8.159000313282595,8.097686123417743,8.829289661,8.621404110360416,8.547305690765507,8.681776043741081,8.038258755,8.101422155302428,8.173512169,8.152365735263775,8.702692867361215,7.895286376268566,18.32586290294356,17.820593507565075,17.41072544258908,17.594914617136986,15.724856375305416,6.570807125359621,6.552240029100259,5.58,19.6,32.9,25.43,16.49,53.26,46.74,0.1727115716753022,79.1052613,20.894738700000005
한우,65840,9540,56300,2194.6666666666665,158289,4756555,22262,1206150,181454,5992519,8970,90070.0,240.4146415552856,33.81227217496962,275.5984204131227,293400,293000,342200,431300,739900,907400,939800,10.996793615562808,8.487809663077066,6.954638129861075,7.1487930801820125,8.061350119815378,6.5815699003766905,7.025043392995632,8.320295910095018,11.617529094516074,7.496535040878362,8.203577627457639,9.10606442518224,14.829737858114756,14.50255022451013,14.472230013248378,14.544139409622009,13.887196811909272,13.86597629932612,13.898169383269336,2.61,18.36,35.24,30.09,13.7,54.74,45.26,4.110535405872193,30.65514077399999,69.34485922600001
세련,3930,910,3020,131.0,149271,7955010,60138,2177721,210456,10183395,470,4730.0,3798.244275,1530.2290076335878,5355.114503816794,23400,29200,51800,21500,25400,26600,50100,10.319060549364972,11.604367228986332,9.913334270219758,8.254487545767637,7.5408646288388335,7.5506250354219695,6.874546509739514,6.886852037956119,7.174009856031416,7.316466447525382,7.628042166705888,8.937343723442176,14.41686008754518,14.644542995915636,14.925486472996091,14.217150066333527,14.41946855427595,13.14113317893746,14.235358643996149,5.73,32.76,30.55,21.73,9.23,31.31,68.69,3.523316062176165,92.3874478,7.6125522
시선,41050,5250,35800,1368.3333333333333,141782,9564198,41732,3553996,184432,13183785,6610,44610.0,345.38855054811205,101.66138855054812,449.28623629719857,211200,191600,175600,162900,141800,127300,143800,8.145872877432504,7.859637755362183,7.722818108270686,7.550354427987968,8.309052086,8.327841374,8.311279839064204,8.674395433971405,9.078496160474394,9.293140025,9.793110836,6.934001077012211,12.68809027,12.866151059022862,13.466169503414733,13.42301963649072,14.159777888018793,15.420163542287204,17.976628105152777,11.82,51.96,18.26,11.61,6.35,37.83,62.17,6.666666666666667,33.96582533200001,66.03417466799999
감각,6410,1930,4480,213.66666666666663,134523,6914702,30069,2632373,165415,9594810,790,5790.0,2098.6427457098284,469.09516380655225,2580.577223088924,99300,70900,78100,68700,76700,90400,98500,7.446880108786975,7.398673670724247,9.947792271,10.654086494903796,9.35865574947248,8.560250238650038,7.201739088267957,7.127856756737161,8.299914032003496,8.845765487578829,7.928266970685341,7.230119131600092,15.259358876771367,15.4878348232961,15.406120151937284,15.203503994216623,13.872956895525425,11.996086707385931,12.774138550867264,14.72,32.12,21.72,19.41,12.02,28.33,71.67,1.381692573402418,93.1263431,6.8736569
끝돈,7890,940,6950,263.0,132064,7623786,59295,2476829,192316,10151118,1080,8290.0,1673.8149556400508,751.5209125475285,2437.465145754119,0,1400,10600,24600,35900,33700,66000,7.486693637089335,8.097158421704709,7.756837679,7.463304830249243,7.651251828158004,8.393435725845523,9.225502714017436,9.642967780624607,10.592954358524588,8.834551039520063,8.467244912381432,6.388097072704549,13.55159186198607,13.584929762110034,13.573118314794652,14.288132249395549,15.29110648847556,15.414546178207823,14.29657514503032,7.08,26.13,28.6,30.2,7.98,48.69,51.31,12.694877505567929,71.65886785,28.341132152000007
프라이빗,18220,3920,14300,607.3333333333334,131027,3245766,30202,610394,162035,3875441,2380,18280.0,719.1383095499451,165.76289791437978,889.3249176728868,176700,175300,193200,209700,212200,234700,313800,8.50679317,7.754408310376723,8.508535986,8.292456657461925,7.705050956930484,8.492432344505007,8.710192438959602,8.816481008143876,10.368431684113151,7.330953908533449,7.722721081598009,7.791542452557097,14.418981843241474,14.50485847868867,14.448157138687398,14.759213656504924,14.040961026609628,14.856604556784315,12.971223299483585,7.2,28.07,24.98,21.6,18.15,42.77,57.23,1.8998272884283247,48.18774848400001,51.81225151599999
안녕부산,1510,240,1270,50.333333333333336,129426,5815504,86230,2834492,216734,8693246,200,1560.0,8571.258278145697,5710.596026490066,14353.245033112584,10,0,0,7320,35700,37800,31600,6.805130288533241,9.055210561,10.078251195164,8.817484397070848,11.046890744630826,11.683551116479563,9.493286336191858,8.166156937990552,6.296013376227045,6.512777410696491,6.606119082731357,5.439128553604521,14.335916036029728,11.680781983405147,13.47399478015382,13.665162503239689,14.877930731644778,15.945560092884426,16.020653872642423,9.69,59.27,20.73,8.13,2.19,32.6,67.4,2.6592455163883733,73.9329942,26.067005800000004
마실,21700,3100,18600,723.3333333333334,129258,7414193,24054,2017322,154079,9478673,2990,22990.0,595.6589861751153,110.84792626728112,710.0414746543779,209600,220300,232000,253200,261200,260400,287300,7.1895514954848085,7.667550688970303,8.113018454157645,8.9476552,9.784967890378113,8.724093625913854,8.265733173881335,8.588109181300386,8.365587866,8.511727336,8.151362459916884,7.690642627,13.96214951387427,14.02322661206654,14.058181140897712,14.090373172036832,14.385999718931664,14.884449548769236,14.595620293423748,6.44,21.67,24.25,26.79,20.86,31.03,68.97,1.3471502590673576,47.584746206000005,52.415253794
더닭,150,20,130,5.0,128443,6815670,17536,1185725,146709,8041402,30,220.0,85628.66666666666,11690.666666666666,97806.0,20000,14900,12100,7570,4020,2440,3270,7.980404637729939,7.576316509,8.976788036,9.465203521,9.546446430656657,8.960990638387347,8.742439941199978,8.235597824577358,7.931180901182831,7.794638565862725,7.5885859495447185,7.201407044927229,13.254767220958492,13.585044094237444,14.636447028817011,14.09514033184111,14.515408749118691,14.655532297560809,15.25766027746644,5.77,35.58,28.85,18.27,11.54,52.88,47.12,2.6292725679228743,42.0479862,57.9520138
숨,27690,4990,22700,923.0,124813,9145594,306713,4879022,433684,14094739,1990,14790.0,450.7511737089202,1107.6670278078727,1566.211629,499400,362500,263500,246300,247100,217300,180100,8.873966182,8.158124109827668,7.742257493332465,8.138853956737844,8.191945342975226,7.222516716421058,6.708211643015344,7.102394507206691,9.410754604709073,11.08421362047012,9.280381714680477,8.086380108,14.11209083574645,14.090178320478234,14.267628792325649,15.681387207858457,14.696572222559384,13.440228702915912,13.711913918115917,3.06,15.52,38.95,29.99,12.48,17.23,82.77,5.112262521588947,33.13140541600001,66.86859458
톡톡,69800,19700,50100,2326.6666666666665,124031,5092098,18597,1406917,143341,6531510,7440,59840.0,177.69484240687677,26.64326648,205.35959885386825,281400,179000,179500,189400,363200,665800,787600,7.439398117255101,7.569027716514805,7.960113303128136,8.247444628,8.942906062,8.532610826,8.163550083,8.353959029897606,8.232276169356933,9.292032934378366,8.972874119,8.293807011909852,16.81246522319369,16.92419782947197,16.80765715019122,16.35122868729466,14.99543829137068,9.520766851932986,8.588245966544784,2.0,30.3,46.98,14.01,6.72,39.65,60.35,6.977547495682211,33.80728345200001,66.19271654799999
후식,2800,710,2090,93.33333333333331,123419,5871697,9473,959542,133556,6865395,350,2740.0,4407.821428571428,338.32142857142856,4769.857142857143,38500,38100,35400,31900,33100,31300,41000,8.339846179554137,8.358363670542426,8.820891455432328,9.003149612606217,8.982622291592326,8.519639191,7.946923357856361,7.771715013028242,7.900431539473902,7.985628129719681,8.107191159184143,8.263598399973047,14.165387763712806,14.673519419842568,14.72581175580678,14.895495191070925,14.325434689501556,13.27075780766331,13.943593372402042,12.59,24.64,24.21,21.52,17.05,34.16,65.84,2.383419689119171,74.48766379999999,25.512336200000004
샐러드밥,2460,360,2100,82.0,111186,5679641,5980,529296,117752,6239982,290,2300.0,4519.756097560976,243.0894308943089,4786.666666666667,560,980,1420,1390,5010,47000,48600,7.276625939581173,7.623778532553565,7.611630081613482,8.073692925157225,8.410493321,8.985254211216386,8.859893101,8.054681825789006,9.203621903851452,8.597179203453187,9.121288383377872,8.181860570701598,15.201903008681953,15.390506195360686,15.853155577914618,15.472334348685273,14.776589347281174,12.249862374358791,11.055649147717505,8.75,36.88,28.71,18.39,7.27,20.82,79.18,0.0,67.32056704,32.67943296200001
연어로만,4430,460,3970,147.66666666666666,110994,5151350,11469,986243,123075,6168281,640,4680.0,2505.5079006772007,258.8939051918736,2778.216704288939,33600,57700,72800,97100,86900,97400,97400,6.996317318174921,7.677028277856674,7.517278429968299,7.731503971821476,8.013137835230422,7.834114791899922,7.477626043839063,8.724382870939374,7.911609220623703,8.153210126,13.721178152700874,8.242612961373608,17.37861134621873,14.430433084002578,14.393537106175744,14.395838991531315,14.768539577297442,14.91180209169682,9.721237803077384,10.43,26.71,21.71,28.02,13.13,24.19,75.81,1.1744386873920554,72.96281367,27.037186328000004
바깥,7360,1720,5640,245.3333333333333,106287,6313157,21434,2058515,128360,8413530,890,6880.0,1444.116847826087,291.22282608695656,1744.0217391304348,64700,75100,81800,73900,97800,98000,109600,8.162790784674822,8.298353032979593,9.732141131638466,9.605850584284742,8.528264168,8.164840407552035,7.682626545048768,7.655950803940785,7.827831209356595,8.058197679457091,8.071711330376823,8.211442322,15.139979613511992,15.51169414271692,15.683410295902348,15.53372100154645,14.520849438789591,11.638436283237946,11.971909224294746,7.57,27.6,27.24,21.79,15.8,41.95,58.05,0.932642487,82.80709274,17.19290726
와사비,23820,3320,20500,794.0,102447,3427454,4013,273723,106992,3719683,3260,25660.0,430.0881612,16.84718723761545,449.1687657,222500,316400,365300,306200,354800,439400,367800,7.906760768797462,7.527986556900497,7.859358461793098,7.772628772118178,8.443630158337854,8.515433852162477,8.252958740051335,10.596129671856197,8.046742826209144,8.318386800383095,7.848285210268802,8.911698181121846,13.766230791666596,13.848986783281587,13.729920633481669,13.879455378949412,14.91603205415284,15.003970064502417,14.855404293965488,5.14,21.76,28.41,26.47,18.23,56.42,43.58,5.595854922279793,29.064528006000003,70.93547199
